eeg_mean,eeg_variance,EEG_feature
359699596957.39496,1.6431265551992893e+26,1.0000003903167822
13281704.10500043,2.259948138774538e+17,1.0000000000000004
208356912226.68765,5.607539236478662e+25,1.000000133204388
1826011400186.6758,4.269152504192705e+27,1.000010141165711
2499893114.620105,4.5975561437063985e+21,1.0000000000109213
28436036.908025775,1.154738761561189e+18,1.0000000000000027
79071894.34125115,6.129495856193114e+18,1.0000000000000147
3937895614540.9507,1.9747146468632323e+28,1.0000469083932844
17710790.005354896,3.050793830743815e+17,1.0000000000000007
61868012060.606445,4.881676197694284e+24,1.0000000115961862
11316542.501024373,1.5855142573714765e+17,1.0000000000000004
83679157104.41728,8.915266961980424e+24,1.0000000211777864
31162995.28146036,1.8987435231997596e+18,1.0000000000000044
5549623141388.611,6.2359049211093114e+28,1.0001481309114653
10871383.033527935,1.6339443417705053e+17,1.0000000000000004
2793319664450.6797,1.011631163582343e+28,1.0000240308099986
7275851.905909281,5.413974677180666e+16,1.0000000000000002
9482218.641692432,1.1397844952850888e+17,1.0000000000000002
981013268.7913264,8.16427949410636e+20,1.0000000000019393
326797987617.9003,1.355610859755634e+26,1.0000003220188165
823704624406.3271,8.716022629589612e+26,1.0000020704491053
10170601.274593502,1.2996266613072715e+17,1.0000000000000002
1661049546980.283,3.488972825719899e+27,1.0000082878865424
186906509471.10666,4.540597097352156e+25,1.0000001078596923
1480972772.1580963,2.1144024596681224e+21,1.0000000000050226
10360231.654903982,1.661938174145752e+17,1.0000000000000004
553132731971.4193,4.111881445563571e+26,1.0000009767575901
63862557.01933643,3.269826318754505e+18,1.0000000000000078
1908685959136.5212,4.654589762609689e+27,1.000011056753314
430991622020.17346,2.4115907740146443e+26,1.000000572861748
7766008.593270182,7.53841297689114e+16,1.0000000000000002
16427145.094639642,3.3972392036255936e+17,1.0000000000000009
14260412.844726736,2.5343556724977802e+17,1.0000000000000007
10543138.02844865,1.3638218015867454e+17,1.0000000000000002
10671635.62537756,1.4750903974622275e+17,1.0000000000000004
13380523.076238262,2.3638752645641965e+17,1.0000000000000004
1408755874426.6035,3.8844241000086794e+27,1.000009227261957
840865379431.7383,9.002754301326986e+26,1.00000213856083
195915388.10093483,6.595514381396817e+19,1.0000000000001568
23546989.239693,7.024229322822947e+17,1.0000000000000016
131352236552.83609,2.188938789717232e+25,1.0000000519971843
40549721.84805053,1.3521280921230838e+18,1.000000000000003
14350741.970276017,2.6999166667953645e+17,1.0000000000000007
12869331.000292582,2.3309276647015302e+17,1.0000000000000004
207111812409.16022,5.552413192452346e+25,1.0000001318948954
14820746.106535036,2.892898296336244e+17,1.0000000000000007
466876218739.193,2.8149813640299392e+26,1.0000006686852356
38058917.07823711,1.8103464471209055e+18,1.0000000000000042
1067517818015.7488,1.4407617258695038e+27,1.0000034224599375
38632492.810800515,1.9051065151625782e+18,1.0000000000000044
53753758094.11672,3.610300461498548e+24,1.0000000085760945
367754132999.0733,1.7438257435862716e+26,1.0000004142373884
3979771.3590405816,1.0202373434773284e+16,1.0
14234440.69504322,2.057120667630273e+17,1.0000000000000004
12831544.245475112,1.702122546913398e+17,1.0000000000000004
74948309408.38411,7.804306896629641e+24,1.0000000185387543
14917903.513199143,2.857846628840989e+17,1.0000000000000007
3049041884474.8374,1.1856778132353778e+28,1.0000281652041525
10424022.907791955,9.002467915361259e+16,1.0000000000000002
10949457907.545012,1.4009732742064893e+23,1.0000000003327945
67231175827.12213,6.039538165823725e+24,1.0000000143466314
559485091.9163915,3.890120785729014e+20,1.0000000000009241
23284048.56835293,4.431080378710365e+17,1.000000000000001
893722743399.821,1.0405705341229503e+27,1.0000024718250777
18522887.968442038,4.777096691189421e+17,1.000000000000001
316167808286.7081,1.2840142930764022e+26,1.0000003050113977
9681816.349967938,1.1934149975039645e+17,1.0000000000000002
281580939.55139816,4.9970814101469495e+19,1.0000000000001188
6448057.12082612,5.3827987752518584e+16,1.0000000000000002
93798589.14425431,1.8942636559151452e+19,1.000000000000045
4524095085747.131,2.838200469306301e+28,1.0000674200822108
1489098785.6778612,1.2412219698684717e+21,1.0000000000029485
849102749.6216488,4.65224703452379e+20,1.0000000000011051
3736908195246.2354,1.774031666869076e+28,1.00004214126596
19491750.39711232,4.818439731796377e+17,1.000000000000001
13584276.800305188,2.428754158005923e+17,1.0000000000000007
298150870.5345624,1.2056385139818163e+20,1.0000000000002864
9394504511.938831,1.0745083166939293e+23,1.0000000002552443
190840504974.64108,4.8827992267372404e+25,1.0000001159885388
139326555016.04184,2.5154118656356843e+25,1.0000000597523948
15653607.504642056,2.887207401550796e+17,1.0000000000000007
18078737.12239737,4.5347838730660314e+17,1.000000000000001
17372261.36547229,2.2528423045893683e+17,1.0000000000000004
17283539.600384012,3.5241323272612314e+17,1.0000000000000009
7112294.429991121,6.254833096070125e+16,1.0000000000000002
6795167.523348101,5.8995949200283384e+16,1.0000000000000002
4361400913.803076,1.418966195053473e+22,1.0000000000337068
20523652.52398258,5.1420007302077126e+17,1.000000000000001
6047761.607165155,5.138722632766927e+16,1.0
1368876786.1921215,3.439027964344768e+21,1.0000000000081692
1591574287295.6484,3.392366485876323e+27,1.000008058402845
755786724432.3342,7.315316799124619e+26,1.0000017377181962
403780365897.1029,2.117116938076771e+26,1.0000005029109098
14626599.04188923,2.424842031303863e+17,1.0000000000000007
11165721.436370652,1.5829369996310323e+17,1.0000000000000004
85647794245.30826,9.626783040111242e+24,1.0000000228679584
4138261888654.3486,2.2998607142553257e+28,1.0000546320811743
1743744187056.1045,3.900894130289226e+27,1.0000092663857187
193120561641.36417,4.750176283261181e+25,1.0000001128381448
6472277.169476923,5.3940187183219224e+16,1.0000000000000002
1057136701023.2048,1.438264260870933e+27,1.0000034165273297
416109157991.38983,2.2158006847636987e+26,1.0000005263527574
79022020958.1336,8.250832318250794e+24,1.0000000195994538
5840945649054.719,4.354983425074078e+28,1.0001034505292068
640406345638.7678,5.3271961516694796e+26,1.0000012654497326
21656067.680477943,6.616332041071095e+17,1.0000000000000016
10338308247408.713,1.521376810330757e+29,1.0003613957179391
15099536.932704158,2.910882052221833e+17,1.0000000000000007
24818099.376815986,7.68719885164437e+17,1.0000000000000018
5582427.300615843,2.7199008099510956e+16,1.0
13224534.655493878,1.8137623091916784e+17,1.0000000000000004
15147362.216239398,2.920784265942724e+17,1.0000000000000007
915972134598.956,1.0771766060068765e+27,1.0000025587810346
21262284.15301283,5.818429601137206e+17,1.0000000000000013
2695185355.466767,4.1788638065783546e+21,1.0000000000099267
1704871790619.3179,3.789678924851788e+27,1.0000090021993664
14476061.14766726,2.632722694177881e+17,1.0000000000000007
5414717.260199584,2.186986975856462e+16,1.0
1422529208.4182022,1.39530766608809e+21,1.0000000000033145
16981573.85550663,2.8340296909180454e+17,1.0000000000000007
